mean_fit_time	mean_score_time	mean_test_score	param_estimator__n_estimators	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.6926319599151611	0.00445858637491862	0.94	507	{u'estimator__n_estimators': 507}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.13254633667403448	0.002476730071688024	0.017932334690468538
0.1749573548634847	0.0009802977244059246	0.9333333333333333	138	{u'estimator__n_estimators': 138}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.016400558574791013	0.00013690809631399347	0.01980295085953352
0.54279891649882	0.0018768310546875	0.94	439	{u'estimator__n_estimators': 439}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.043209390995014314	0.0001939257308006657	0.017932334690468538
0.7022824287414551	0.0021016597747802734	0.9333333333333333	598	{u'estimator__n_estimators': 598}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.08387553754227593	0.00040072085210726433	0.01980295085953352
0.8911825815836588	0.0024580955505371094	0.9333333333333333	799	{u'estimator__n_estimators': 799}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.06998768777438964	0.0008827342418690498	0.01980295085953352
0.0038709640502929688	0.0005327860514322916	0.9266666666666666	2	{u'estimator__n_estimators': 2}	99	0.9411764705882353	0.9215686274509803	0.9166666666666666	0.00016405358190786821	6.798827668645561e-05	0.01060274967419278
1.1411569913228352	0.0031500657399495444	0.94	946	{u'estimator__n_estimators': 946}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.16202359734390237	0.0010183540170659291	0.017932334690468538
0.5978233814239502	0.0018616517384847004	0.9333333333333333	551	{u'estimator__n_estimators': 551}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.056863546519240964	0.0004118509794329411	0.01980295085953352
0.7467041810353597	0.002035935719807943	0.94	656	{u'estimator__n_estimators': 656}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.056276121580620134	0.0002801934210526034	0.017932334690468538
0.7987306912740072	0.001983642578125	0.9333333333333333	786	{u'estimator__n_estimators': 786}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.007390943256258001	5.9256810287783854e-05	0.01980295085953352
0.25240492820739746	0.0010980765024820964	0.9333333333333333	232	{u'estimator__n_estimators': 232}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.01606327459076017	5.9179164944242106e-05	0.01980295085953352
0.6569923559824625	0.001674652099609375	0.9333333333333333	640	{u'estimator__n_estimators': 640}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.029477126665910958	0.00014627804003634098	0.01980295085953352
0.21713876724243164	0.000964959462483724	0.9333333333333333	198	{u'estimator__n_estimators': 198}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.01973652986210355	7.686952528840298e-05	0.01980295085953352
0.370652437210083	0.0013532638549804688	0.94	343	{u'estimator__n_estimators': 343}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.026658440908181712	0.0001504355110250836	0.017932334690468538
0.01384266217549642	0.0005323092142740885	0.94	9	{u'estimator__n_estimators': 9}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.0007910699791933304	1.0875883353268944e-05	0.017932334690468538
0.260822057723999	0.0011393229166666667	0.94	235	{u'estimator__n_estimators': 235}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.027863133224021744	0.0001451985893786278	0.017932334690468538
0.19350973765055338	0.0010000069936116536	0.94	172	{u'estimator__n_estimators': 172}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.007168599376198524	0.00020111379327190844	0.017932334690468538
0.35245434443155926	0.0013159910837809246	0.94	303	{u'estimator__n_estimators': 303}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.041262112697020174	0.00018328092174842796	0.017932334690468538
0.27338536580403644	0.0012176831563313801	0.94	226	{u'estimator__n_estimators': 226}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.010485308140440288	6.0985569049742846e-05	0.017932334690468538
0.6488770643870035	0.0018248558044433594	0.94	594	{u'estimator__n_estimators': 594}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.04388823684705058	2.995167501929186e-05	0.017932334690468538
0.1776433785756429	0.0011164347330729167	0.9333333333333333	124	{u'estimator__n_estimators': 124}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.00846250695702099	0.00013933784097017627	0.01980295085953352
0.8357443809509277	0.0020270347595214844	0.9333333333333333	811	{u'estimator__n_estimators': 811}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.04737625976939081	0.00012828706831894302	0.01980295085953352
0.09952497482299805	0.0008859634399414062	0.94	63	{u'estimator__n_estimators': 63}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.008772181422707878	3.473118546549945e-05	0.017932334690468538
0.7939310073852539	0.004607995351155599	0.9333333333333333	779	{u'estimator__n_estimators': 779}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.027374845621898184	0.003829121782439828	0.01980295085953352
1.085817019144694	0.002893368403116862	0.9333333333333333	996	{u'estimator__n_estimators': 996}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.048355881288264485	0.0007564528289528585	0.01980295085953352
1.1171486377716064	0.0022710164388020835	0.9333333333333333	982	{u'estimator__n_estimators': 982}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.04972141572137404	5.940701250915572e-05	0.01980295085953352
0.9290386041005453	0.0019910335540771484	0.9333333333333333	807	{u'estimator__n_estimators': 807}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.025385583113251266	0.00027031164882168645	0.01980295085953352
0.33280642827351886	0.0017133553822835286	0.9333333333333333	258	{u'estimator__n_estimators': 258}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.010786648368417147	0.0005640938683341269	0.01980295085953352
0.32683364550272626	0.0011885960896809895	0.9333333333333333	234	{u'estimator__n_estimators': 234}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.03994061561035964	0.00011562724825558225	0.01980295085953352
0.0025293827056884766	0.0004589557647705078	0.9266666666666666	1	{u'estimator__n_estimators': 1}	99	0.9411764705882353	0.9215686274509803	0.9166666666666666	4.243761411720378e-05	3.241148370809806e-05	0.01060274967419278
1.1775109767913818	0.002526998519897461	0.9333333333333333	955	{u'estimator__n_estimators': 955}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.03581579072503368	0.00019791796268560797	0.01980295085953352
0.01403371493021647	0.0007466475168863932	0.94	7	{u'estimator__n_estimators': 7}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.0002591563771941923	2.5150868711715096e-05	0.017932334690468538
1.1567912101745605	0.002604405085245768	0.9333333333333333	972	{u'estimator__n_estimators': 972}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.08315632119635916	0.00019931007341369002	0.01980295085953352
0.8783120314280192	0.0018754005432128906	0.94	712	{u'estimator__n_estimators': 712}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.02239710281813607	0.00015312722872074671	0.017932334690468538
1.1420702934265137	0.0024086634318033853	0.9333333333333333	958	{u'estimator__n_estimators': 958}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.048914871094065025	6.154904904570458e-05	0.01980295085953352
1.1138846079508464	0.002695957819620768	0.9333333333333333	949	{u'estimator__n_estimators': 949}	49	0.9607843137254902	0.9215686274509803	0.9166666666666666	0.05652199435917596	3.535801027607316e-05	0.01980295085953352
1.1008893648783367	0.0025130112965901694	0.94	962	{u'estimator__n_estimators': 962}	2	0.9607843137254902	0.9411764705882353	0.9166666666666666	0.036979340465882686	0.00012576127433366216	0.017932334690468538
