mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__max_depth	param_estimator__max_features	param_estimator__n_estimators	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.09662993748982747	0.0025076866149902344	0.7882	0.1	1		10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': None}	345	0.7949640287769785	0.7707082833133253	0.7989195678271308	0.0017459958586760011	4.951114511467149e-05	0.012469825263364926
0.41925843556722003	0.004709959030151367	0.8418	0.1	1		50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': None}	176	0.8327338129496403	0.8427370948379351	0.8499399759903962	0.0039014960054481688	0.00011785452642405567	0.00705625030610881
0.8725020090738932	0.006970326105753581	0.8494	0.1	1		100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': None}	81	0.8405275779376499	0.8487394957983193	0.8589435774309724	0.029733081170902526	0.00025146506344960265	0.007533533448922225
1.6316280364990234	0.01084756851196289	0.8504	0.1	1		200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': None}	57	0.8453237410071942	0.8487394957983193	0.8571428571428571	0.03483951154452987	0.000294561370310057	0.00496632417321733
4.056846618652344	0.020727078119913738	0.851	0.1	1		500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': None}	47	0.8447242206235012	0.8505402160864346	0.8577430972388955	0.05697134006758788	0.0007858054132595763	0.005325392142795367
0.06873758633931477	0.0025186538696289062	0.7974	0.1	1	log2	10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': 'log2'}	327	0.7991606714628298	0.7851140456182473	0.8079231692677071	0.0005448572206525069	4.025110090880435e-05	0.00939289692217733
0.29796067873636883	0.004883289337158203	0.831	0.1	1	log2	50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': 'log2'}	224	0.815347721822542	0.8289315726290516	0.8487394957983193	0.010616152111007802	0.00021392909971851897	0.01371167778356018
0.6033856074015299	0.007009347279866536	0.8484	0.1	1	log2	100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': 'log2'}	97	0.8399280575539568	0.8475390156062425	0.8577430972388955	0.03027983119633517	0.00025862605481990445	0.007299104376424313
1.142443100611369	0.012389659881591797	0.8496	0.1	1	log2	200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': 'log2'}	76	0.8435251798561151	0.8475390156062425	0.8577430972388955	0.041763829154278245	0.0020437737160858413	0.00598504883773082
2.818614959716797	0.02236000696818034	0.8524	0.1	1	log2	500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': 'log2'}	24	0.8477218225419664	0.8499399759903962	0.8595438175270108	0.04153347640017672	0.001810372022181423	0.005130492674606615
0.07151468594868977	0.0029386679331461587	0.7842	0.1	1	sqrt	10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': 'sqrt'}	356	0.7835731414868106	0.776110444177671	0.7929171668667467	0.002078597041016618	5.511624739600462e-05	0.006874266156652254
0.3000962734222412	0.005082050959269206	0.8364	0.1	1	sqrt	50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': 'sqrt'}	203	0.8333333333333334	0.8331332533013205	0.8427370948379351	0.0022585645818396518	0.00011970517546028987	0.004480403286027052
0.5794370174407959	0.007116238276163737	0.8486	0.1	1	sqrt	100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': 'sqrt'}	90	0.8375299760191847	0.8505402160864346	0.8577430972388955	0.014892640604908546	7.832339621932427e-05	0.008365986464972337
