mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__max_depth	param_estimator__max_features	param_estimator__n_estimators	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.005552371342976888	0.0006126562754313151	0.7097902097902098	0.1	1		10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': None}	146	0.6979166666666666	0.7052631578947368	0.7263157894736842	0.0007567333672323661	6.861992477862935e-05	0.012035078665356665
0.01697389284769694	0.0005437533060709635	0.7202797202797203	0.1	1		50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': None}	77	0.6875	0.7894736842105263	0.6842105263157895	9.122272736655356e-05	1.7769605393377748e-05	0.04881777693711441
0.032488346099853516	0.0005803108215332031	0.7202797202797203	0.1	1		100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': None}	77	0.6979166666666666	0.7789473684210526	0.6842105263157895	0.0003460719385061848	1.2549667958038256e-05	0.04175284265388487
0.06263462702433269	0.0006736119588216146	0.7202797202797203	0.1	1		200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': None}	77	0.6979166666666666	0.7684210526315789	0.6947368421052632	0.0003942158421931602	7.69451614536262e-06	0.03397668421534025
0.15038657188415527	0.0009767214457194011	0.6958041958041958	0.1	1		500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': None}	422	0.6666666666666666	0.7263157894736842	0.6947368421052632	0.0010107766275819841	8.016357670225161e-05	0.024384217229011306
0.00454099973042806	0.0004680951436360677	0.7167832167832168	0.1	1	log2	10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': 'log2'}	107	0.6979166666666666	0.7052631578947368	0.7473684210526316	5.109109826155371e-05	1.2032201457050536e-05	0.021778180826458368
0.0161742369333903	0.0005500316619873047	0.7167832167832168	0.1	1	log2	50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': 'log2'}	107	0.6875	0.7894736842105263	0.6736842105263158	1.0652328192326349e-05	4.859880712184789e-05	0.051575064071369685
0.03132406870524088	0.0005869865417480469	0.7342657342657343	0.1	1	log2	100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': 'log2'}	20	0.7083333333333334	0.7789473684210526	0.7157894736842105	0.0003753879812122938	5.3467813841229103e-05	0.03165879856196373
0.06101234753926595	0.0007883707682291666	0.7237762237762237	0.1	1	log2	200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': 'log2'}	53	0.6979166666666666	0.7789473684210526	0.6947368421052632	0.0003213856702010332	3.198266728190148e-05	0.038931317821521365
0.15009403228759766	0.0010449886322021484	0.7027972027972028	0.1	1	log2	500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': 'log2'}	167	0.6875	0.7263157894736842	0.6947368421052632	0.0004796006471361584	0.00013376720088261026	0.016848075816532852
0.004525105158487956	0.0005096594492594401	0.7027972027972028	0.1	1	sqrt	10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': 'sqrt'}	167	0.6979166666666666	0.7052631578947368	0.7052631578947368	8.265353164271361e-05	1.2225912148474205e-05	0.0034691761197429404
0.016779343287150066	0.0005327065785725912	0.7237762237762237	0.1	1	sqrt	50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': 'sqrt'}	53	0.6875	0.7894736842105263	0.6947368421052632	0.00040433308974549266	3.3641153454912506e-05	0.04642761013364891
0.03150780995686849	0.0006189346313476562	0.7202797202797203	0.1	1	sqrt	100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': 'sqrt'}	77	0.6875	0.7789473684210526	0.6947368421052632	0.0005167785018027943	0.00010385804483134279	0.041481079370531734
0.061285972595214844	0.0006590684254964193	0.7202797202797203	0.1	1	sqrt	200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': 'sqrt'}	77	0.6875	0.7684210526315789	0.7052631578947368	0.0010814514494075919	3.199925129775507e-05	0.03471895370341145
0.1522487004597982	0.0009986559549967449	0.6958041958041958	0.1	1	sqrt	500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': 'sqrt'}	422	0.6666666666666666	0.7263157894736842	0.6947368421052632	0.0002001903510383456	7.268035257889971e-05	0.024384217229011306
0.004549423853556315	0.00047596295674641925	0.7097902097902098	0.1	1	auto	10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 10, u'estimator__max_features': 'auto'}	146	0.6979166666666666	0.7052631578947368	0.7263157894736842	0.00017076167497154669	2.644715397064141e-05	0.012035078665356665
0.01630226771036784	0.0005137920379638672	0.7202797202797203	0.1	1	auto	50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 50, u'estimator__max_features': 'auto'}	77	0.6875	0.7894736842105263	0.6842105263157895	0.00015830997641944636	1.7769249955062865e-05	0.04881777693711441
0.03060293197631836	0.000538031260172526	0.7202797202797203	0.1	1	auto	100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 100, u'estimator__max_features': 'auto'}	77	0.6979166666666666	0.7789473684210526	0.6842105263157895	0.00014224394240978935	2.1316215110370397e-05	0.04175284265388487
0.060256004333496094	0.0007992585500081381	0.7202797202797203	0.1	1	auto	200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 200, u'estimator__max_features': 'auto'}	77	0.6979166666666666	0.7684210526315789	0.6947368421052632	0.00034975997428139	4.344076945925294e-05	0.03397668421534025
0.1547567049662272	0.0011897087097167969	0.6958041958041958	0.1	1	auto	500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 1, u'estimator__n_estimators': 500, u'estimator__max_features': 'auto'}	422	0.6666666666666666	0.7263157894736842	0.6947368421052632	0.006426573816372989	5.714391516056611e-05	0.024384217229011306
0.005495309829711914	0.000475009282430013	0.7237762237762237	0.1	2		10	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 2, u'estimator__n_estimators': 10, u'estimator__max_features': None}	53	0.6875	0.7368421052631579	0.7473684210526316	0.00012922506928771604	8.30557925465196e-06	0.026140217753383592
0.024771690368652344	0.0007634162902832031	0.7237762237762237	0.1	2		50	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 2, u'estimator__n_estimators': 50, u'estimator__max_features': None}	53	0.6770833333333334	0.7578947368421053	0.7368421052631579	0.0022885056205845526	8.940982814026025e-05	0.03428116804691398
0.0438539187113444	0.000919342041015625	0.7272727272727273	0.1	2		100	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 2, u'estimator__n_estimators': 100, u'estimator__max_features': None}	40	0.7083333333333334	0.7263157894736842	0.7473684210526316	0.0004435028346891921	6.665522870543112e-05	0.015963985073975742
0.08428700764973958	0.0011049906412760417	0.7342657342657343	0.1	2		200	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 2, u'estimator__n_estimators': 200, u'estimator__max_features': None}	20	0.71875	0.7473684210526316	0.7368421052631579	0.000599540145872037	6.305959836602965e-06	0.011833794701654462
0.19684863090515137	0.0016646385192871094	0.6853146853146853	0.1	2		500	{u'estimator__learning_rate': 0.1, u'estimator__max_depth': 2, u'estimator__n_estimators': 500, u'estimator__max_features': None}	441	0.6666666666666666	0.6947368421052632	0.6947368421052632	0.0008489003465557543	6.522160916937178e-05	0.01325535950230141
