mean_fit_time	mean_score_time	mean_test_score	param_estimator__C	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.048591295878092446	0.0013043880462646484	0.9687108886107635	1.58589881	{u'estimator__C': 1.58589881}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0030610282996894724	0.000153452317143682	0.005226404065895744
0.04530604680379232	0.0011886755625406902	0.9687108886107635	1.48639368	{u'estimator__C': 1.48639368}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0016456227693279586	6.21891250035723e-05	0.005226404065895744
0.05337333679199219	0.001415252685546875	0.9690237797246558	0.34132887	{u'estimator__C': 0.34132887}	32	0.9718574108818011	0.9774647887323944	0.9577464788732394	0.0005851444129273538	0.00010393792260044726	0.008294587620642314
0.04213706652323405	0.0010396639506022136	0.9687108886107635	1.4409644	{u'estimator__C': 1.4409644}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.003064219309181696	2.6233508271147678e-05	0.005226404065895744
0.04270164171854655	0.0010086695353190105	0.9690237797246558	0.66466237	{u'estimator__C': 0.66466237}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.00018413534025687553	8.298572601640793e-05	0.006687697486346091
0.0414587656656901	0.0010658899943033855	0.9690237797246558	1.72708417	{u'estimator__C': 1.72708417}	32	0.9737335834896811	0.9708920187793427	0.9624413145539906	0.0018049120656270488	4.2600418101481285e-05	0.004795854055036657
0.03970766067504883	0.0010640621185302734	0.9690237797246558	1.79515564	{u'estimator__C': 1.79515564}	32	0.9737335834896811	0.9708920187793427	0.9624413145539906	0.0015650305607945035	9.847755235670215e-05	0.004795854055036657
0.03681643803914388	0.0009276072184244791	0.9699624530663329	1.88069757	{u'estimator__C': 1.88069757}	1	0.9737335834896811	0.971830985915493	0.964319248826291	0.001295192516348896	4.69332825225313e-05	0.004064334164482074
0.03945175806681315	0.0010109742482503254	0.9687108886107635	1.44188595	{u'estimator__C': 1.44188595}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0009692207868452812	8.656757943698782e-05	0.005226404065895744
0.0435339609781901	0.0011413097381591797	0.9693366708385481	0.98584188	{u'estimator__C': 0.98584188}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0002866590125491103	4.4657948933254446e-05	0.005552359763912797
0.04065171877543131	0.0011676947275797527	0.9690237797246558	1.35456896	{u'estimator__C': 1.35456896}	32	0.9737335834896811	0.9708920187793427	0.9624413145539906	0.0018580510433181955	2.207085942811038e-05	0.004795854055036657
0.04298067092895508	0.0010403792063395183	0.9690237797246558	0.54204598	{u'estimator__C': 0.54204598}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.0007404129055798923	4.557988486597645e-05	0.006687697486346091
0.03535230954488119	0.0010364055633544922	0.9643304130162703	0.12443842	{u'estimator__C': 0.12443842}	97	0.9690431519699813	0.9727699530516432	0.9511737089201878	0.006732867643202196	4.066696974617544e-05	0.00942464957200397
0.04015660285949707	0.0011154015858968098	0.9687108886107635	1.43780187	{u'estimator__C': 1.43780187}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.00272852526762668	5.433165991321444e-05	0.005226404065895744
0.03746930758158366	0.0010213057200113933	0.9687108886107635	1.40978835	{u'estimator__C': 1.40978835}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0012902471958141243	4.852831729682743e-05	0.005226404065895744
0.04032540321350098	0.0011662642161051433	0.9693366708385481	0.99396145	{u'estimator__C': 0.99396145}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0026644701460879407	0.00031242274134907086	0.005552359763912797
0.04575395584106445	0.0012020270029703777	0.9693366708385481	1.12750858	{u'estimator__C': 1.12750858}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0014768528611728777	5.314589658514813e-06	0.005552359763912797
0.049017906188964844	0.0013204415639241536	0.9693366708385481	1.0841885	{u'estimator__C': 1.0841885}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0027985794414566523	1.927540447163429e-05	0.005552359763912797
0.04364236195882162	0.0011016527811686199	0.9690237797246558	1.21606641	{u'estimator__C': 1.21606641}	32	0.9737335834896811	0.971830985915493	0.9615023474178404	0.00457817482324291	0.00026310051645233207	0.005373649186537879
0.04087209701538086	0.0011519591013590496	0.9687108886107635	1.25979102	{u'estimator__C': 1.25979102}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0018179467883845627	3.753828831763264e-05	0.005226404065895744
0.040808677673339844	0.0013043880462646484	0.9658948685857321	0.17376831	{u'estimator__C': 0.17376831}	93	0.9699812382739212	0.9746478873239437	0.9530516431924883	0.008129301568219291	4.049888897006626e-05	0.009277159392393578
0.043944994608561196	0.001039425532023112	0.9693366708385481	0.41592852	{u'estimator__C': 0.41592852}	6	0.9718574108818011	0.9774647887323944	0.9586854460093897	0.0014512590721023541	4.5156811765871346e-05	0.007870129793739111
0.03937077522277832	0.0009853045145670574	0.9693366708385481	1.07370119	{u'estimator__C': 1.07370119}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0011057864151171502	8.229122013911365e-05	0.005552359763912797
0.04103231430053711	0.0011476675669352214	0.9687108886107635	1.44825757	{u'estimator__C': 1.44825757}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.001384985585739455	5.957486150289747e-05	0.005226404065895744
0.05136227607727051	0.0016023317972819011	0.9687108886107635	1.46292536	{u'estimator__C': 1.46292536}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.005369577663901553	0.0003887706861992382	0.005226404065895744
0.05000599225362142	0.001152356465657552	0.9687108886107635	0.45258543	{u'estimator__C': 0.45258543}	59	0.9718574108818011	0.9765258215962441	0.9577464788732394	0.001689079564172744	9.734046604857508e-06	0.007982095213594265
0.04497973124186198	0.0011893113454182942	0.9693366708385481	1.16149519	{u'estimator__C': 1.16149519}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.001173609529792089	2.5921069476501325e-05	0.005552359763912797
0.044674317042032875	0.0010627110799153645	0.9693366708385481	1.17038687	{u'estimator__C': 1.17038687}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.001605993699625559	9.315921022563245e-05	0.005552359763912797
0.038401285807291664	0.0009206930796305338	0.9693366708385481	0.99070345	{u'estimator__C': 0.99070345}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0010242993505091241	1.2655413490204145e-05	0.005552359763912797
0.03893740971883138	0.0009622573852539062	0.9693366708385481	0.99438281	{u'estimator__C': 0.99438281}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.0014472196852865886	1.7305751245505367e-05	0.005552359763912797
0.023795366287231445	0.0010416507720947266	0.9574468085106383	0.04457752	{u'estimator__C': 0.04457752}	98	0.9643527204502814	0.9615023474178404	0.9464788732394366	0.005084302400161475	0.00020235132271279673	0.007840528863065107
0.037607034047444664	0.0008862813313802084	0.9687108886107635	0.66132093	{u'estimator__C': 0.66132093}	59	0.9727954971857411	0.9737089201877934	0.9596244131455399	0.0021025245107265237	3.0458744611224847e-05	0.006434417200499349
0.0340730349222819	0.0008466243743896484	0.9687108886107635	1.61797367	{u'estimator__C': 1.61797367}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0013144754729098624	1.9772936932196933e-05	0.005226404065895744
0.03627999623616537	0.0008923212687174479	0.9690237797246558	0.81965948	{u'estimator__C': 0.81965948}	32	0.9718574108818011	0.9737089201877934	0.9615023474178404	0.0002446174879778443	7.436120518254102e-05	0.005370673649524216
0.0358117421468099	0.0008282661437988281	0.9693366708385481	0.98380043	{u'estimator__C': 0.98380043}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.001175273647781216	5.382806555864403e-05	0.005552359763912797
0.03582604726155599	0.0009466807047526041	0.9696495619524406	1.92579791	{u'estimator__C': 1.92579791}	3	0.9737335834896811	0.971830985915493	0.9633802816901409	0.001928262947737713	5.7926175012784864e-05	0.0044995691733475
0.03839834531148275	0.0008742809295654297	0.9690237797246558	0.54384981	{u'estimator__C': 0.54384981}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.00016017781981320106	2.74943936034894e-05	0.006687697486346091
0.03977592786153158	0.0008893807729085287	0.9687108886107635	0.52893661	{u'estimator__C': 0.52893661}	59	0.9718574108818011	0.9746478873239437	0.9596244131455399	0.0002913853732920232	4.916525374192488e-05	0.006523851771225447
0.040659586588541664	0.0009367465972900391	0.9690237797246558	0.62292843	{u'estimator__C': 0.62292843}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.0005317881854246773	4.658546920318075e-05	0.006687697486346091
0.03996197382609049	0.0008819103240966797	0.9690237797246558	0.58186468	{u'estimator__C': 0.58186468}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.0018187328538199687	1.6226481940434985e-05	0.006687697486346091
0.036153952280680336	0.0008712609608968099	0.9693366708385481	1.18341498	{u'estimator__C': 1.18341498}	6	0.9737335834896811	0.9727699530516432	0.9615023474178404	0.00136225633580837	1.725897293298451e-05	0.005552359763912797
0.03860100110371908	0.0008939901987711588	0.9690237797246558	0.60762507	{u'estimator__C': 0.60762507}	32	0.9727954971857411	0.9746478873239437	0.9596244131455399	0.0012521714468888853	6.734226450444121e-05	0.006687697486346091
0.04022526741027832	0.0009130636850992838	0.9690237797246558	0.93029937	{u'estimator__C': 0.93029937}	32	0.9727954971857411	0.9727699530516432	0.9615023474178404	0.0012041172763708763	2.5348977073511893e-05	0.005317217991876112
0.03740406036376953	0.0009565353393554688	0.9690237797246558	0.92408218	{u'estimator__C': 0.92408218}	32	0.9727954971857411	0.9727699530516432	0.9615023474178404	0.0006187250458914614	4.19874004023719e-05	0.005317217991876112
0.03614052136739095	0.0008904139200846354	0.9687108886107635	1.53842518	{u'estimator__C': 1.53842518}	59	0.9737335834896811	0.9708920187793427	0.9615023474178404	0.0009624171119201667	5.5140306672141e-05	0.005226404065895744
0.041271368662516274	0.000987688700358073	0.9680851063829787	0.49469702	{u'estimator__C': 0.49469702}	89	0.9718574108818011	0.9746478873239437	0.9577464788732394	0.0015821313954791348	3.865682763104537e-05	0.007397061994301653
0.020964304606119793	0.0010353724161783855	0.9561952440550688	0.03881461	{u'estimator__C': 0.03881461}	99	0.9624765478424016	0.9596244131455399	0.9464788732394366	0.0028836666155035696	9.529455367325842e-06	0.006966905365479747
0.04355462392171224	0.0009703636169433594	0.9693366708385481	0.40917326	{u'estimator__C': 0.40917326}	6	0.9718574108818011	0.9784037558685446	0.9577464788732394	0.001131082169415643	5.716314359276667e-05	0.008618486574922042
0.04210193951924642	0.0009223620096842448	0.9680851063829787	0.47992459	{u'estimator__C': 0.47992459}	89	0.9718574108818011	0.9746478873239437	0.9577464788732394	0.0019104180011032374	1.1745325097235583e-05	0.007397061994301653
0.037073612213134766	0.000915686289469401	0.9693366708385481	1.70665754	{u'estimator__C': 1.70665754}	6	0.9737335834896811	0.9708920187793427	0.9633802816901409	0.0011000812026391133	4.127021854804667e-05	0.0043677133631206495
0.03734159469604492	0.0009113947550455729	0.9699624530663329	1.94845089	{u'estimator__C': 1.94845089}	1	0.9737335834896811	0.971830985915493	0.964319248826291	0.0021590495775993942	2.1771792621298987e-05	0.004064334164482074
0.038069725036621094	0.0008856455485026041	0.9690237797246558	0.95931932	{u'estimator__C': 0.95931932}	32	0.9727954971857411	0.9727699530516432	0.9615023474178404	0.0011396490047537815	2.3489843570071606e-05	0.005317217991876112
0.03881231943766276	0.0011285940806070964	0.9693366708385481	1.75246297	{u'estimator__C': 1.75246297}	6	0.9737335834896811	0.9708920187793427	0.9633802816901409	0.0023165916206735974	0.00018621048991534673	0.0043677133631206495
0.04478700955708822	0.0011607011159261067	0.9652690863579474	0.15715885	{u'estimator__C': 0.15715885}	95	0.9690431519699813	0.9737089201877934	0.9530516431924883	0.014499844292071094	6.330431080064966e-05	0.008844587906969084
0.04772631327311198	0.0011696815490722656	0.9693366708385481	0.37711694	{u'estimator__C': 0.37711694}	6	0.9718574108818011	0.9784037558685446	0.9577464788732394	0.0011177159673061415	4.976765357353811e-05	0.008618486574922042
