mean_fit_time	mean_score_time	mean_test_score	param_estimator__C	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.025600751241048176	0.0006289482116699219	0.38764044943820225	1.58589881	{u'estimator__C': 1.58589881}	36	0.4	0.4067796610169492	0.3559322033898305	0.003532739099866282	0.00017786292328941347	0.022498080362213953
0.021996418635050457	0.0004939238230387369	0.37640449438202245	1.48639368	{u'estimator__C': 1.48639368}	93	0.4	0.3898305084745763	0.3389830508474576	0.0006121490174566633	5.619579801452538e-06	0.02667549355807426
0.014003276824951172	0.00048200289408365887	0.39325842696629215	0.34132887	{u'estimator__C': 0.34132887}	14	0.4166666666666667	0.3898305084745763	0.3728813559322034	0.003754199698919329	1.1970628346610216e-05	0.01806173938174502
0.022219340006510418	0.0004996458689371744	0.37640449438202245	1.4409644	{u'estimator__C': 1.4409644}	93	0.4	0.3898305084745763	0.3389830508474576	0.0007302111575235675	1.7353131399918718e-05	0.02667549355807426
0.019691944122314453	0.0004783471425374349	0.39325842696629215	0.66466237	{u'estimator__C': 0.66466237}	14	0.4	0.4067796610169492	0.3728813559322034	0.0034381979707905023	8.915140573107501e-06	0.014613332237102438
0.02242898941040039	0.00047707557678222656	0.38202247191011235	1.72708417	{u'estimator__C': 1.72708417}	77	0.4	0.3898305084745763	0.3559322033898305	0.0002958174136621846	5.731971397481588e-06	0.018835460851070688
0.02224270502726237	0.00048232078552246094	0.39325842696629215	1.79515564	{u'estimator__C': 1.79515564}	14	0.4166666666666667	0.3898305084745763	0.3728813559322034	0.0005050240674315953	7.779414713233484e-06	0.01806173938174502
0.022261699040730793	0.0004836718241373698	0.39325842696629215	1.88069757	{u'estimator__C': 1.88069757}	14	0.4	0.4067796610169492	0.3728813559322034	0.0003136526871550274	6.676666253283254e-06	0.014613332237102438
0.022049347559611004	0.0004810492197672526	0.38764044943820225	1.44188595	{u'estimator__C': 1.44188595}	36	0.4	0.3898305084745763	0.3728813559322034	0.0005001035036795123	4.9605326761650195e-06	0.011193024058392925
0.022142728169759113	0.00048033396402994793	0.39325842696629215	0.98584188	{u'estimator__C': 0.98584188}	14	0.4	0.4067796610169492	0.3728813559322034	0.0033403213619000167	3.3510794071051307e-06	0.014613332237102438
0.019919633865356445	0.00041302045186360675	0.39325842696629215	1.35456896	{u'estimator__C': 1.35456896}	14	0.4166666666666667	0.4067796610169492	0.3559322033898305	0.0008866076502075189	3.566746901555732e-05	0.026591469720700908
0.01458271344502767	0.00043090184529622394	0.38764044943820225	0.54204598	{u'estimator__C': 0.54204598}	36	0.4	0.3898305084745763	0.3728813559322034	0.0032169720800831057	2.4688573561650243e-05	0.011193024058392925
0.008634567260742188	0.00044878323872884113	0.42696629213483145	0.12443842	{u'estimator__C': 0.12443842}	4	0.45	0.3898305084745763	0.4406779661016949	0.004150123824464119	2.9925937716579596e-05	0.026424644960795718
0.018721818923950195	0.0003952185312906901	0.38202247191011235	1.43780187	{u'estimator__C': 1.43780187}	77	0.4	0.3898305084745763	0.3559322033898305	0.00024935901210718905	4.758599652849571e-05	0.018835460851070688
0.018405596415201824	0.000391085942586263	0.38202247191011235	1.40978835	{u'estimator__C': 1.40978835}	77	0.4	0.4067796610169492	0.3389830508474576	0.0008891626769298186	1.4610907483776596e-06	0.030431798075229267
0.01869368553161621	0.00041596094767252606	0.38202247191011235	0.99396145	{u'estimator__C': 0.99396145}	77	0.4	0.3898305084745763	0.3559322033898305	0.001009023387961563	2.4705452191482766e-05	0.018835460851070688
0.017766316731770832	0.0004069010416666667	0.38764044943820225	1.12750858	{u'estimator__C': 1.12750858}	36	0.4166666666666667	0.3898305084745763	0.3559322033898305	0.0009514471379702292	1.1266101294625186e-05	0.0248765063947247
